38719,30281,44350,46907,26515,24809,33950,34555,43056,32853
10147,17915,12019,21099,46854,14290,33144,26144,8249,40683
5126,30234,1726,21539,31640,6229,15107,10144,48782,4107
38844,22166,44787,33024,29825,32787,32465,28447,43208,75
41424,49037,39629,27722,23918,34319,22682,40892,17234,6781
17378,25342,23721,4151,29650,21901,21684,15510,25286,20077
10696,47268,10845,7416,45247,14381,8346,17820,285,7420
31382,48361,28998,5519,3821,13498,40653,47044,38946,50190
29208,41445,22212,11598,1080,41786,37982,23120,40574,49358
34981,288,21615,35739,20660,41550,36146,45042,12114,48261
45336,3063,24269,42568,16694,18471,49093,9756,2665,1315
49524,47445,17890,23415,41461,10233,34743,6912,7019,8937
26288,19114,18597,14670,13203,48294,6418,46680,42539,44769
30161,13633,30755,32045,10433,48689,17306,10109,48234,34441
1973,27124,4076,31187,8065,25512,25395,40933,38558,41307
18589,39393,21020,20389,9751,40239,35131,6558,29576,25899
29301,33370,50146,37371,28362,23593,26699,23101,11643,25596
7449,47434,20319,4243,31704,269,12913,3979,6266,42861
652,1271,18503,28468,12013,50199,16800,18880,1057,8243
29995,40817,16697,19345,35086,47844,48224,31057,25060,47814
5266,3799,34603,20796,42333,12331,24986,28743,18031,12124
39952,30926,3133,26311,36892,34042,45724,43774,49648,14446
24587,49212,49651,37077,1524,23467,7554,31728,11263,39109
28739,9308,16387,14892,12101,40958,6528,288,15619,6919
5337,41491,14343,44206,41485,22082,21548,33559,2757,36443
8422,46580,18361,24253,17708,42545,8628,17484,48845,14317
16645,30066,28701,38515,30673,32592,40571,40059,3043,31119
16217,26303,50116,19898,47589,14459,32161,42517,41238,7730
18394,12498,23525,38477,36833,28405,1480,20083,5676,4224
44065,37454,45612,48677,33473,32992,27093,41117,40898,25146
29000,43370,46359,3369,48845,19085,10940,14661,33697,33797
35063,16310,17336,34740,32477,22109,46385,14753,18009,35986
19807,11709,26233,40959,31586,2171,15205,27743,39334,36664
46014,27300,46276,48944,22721,35522,17880,14477,39924,43517
9581,29852,7910,28506,45579,13390,7901,18225,27450,12827
42476,42857,42846,48597,17310,21995,13208,19737,9673,19850
43045,33137,2518,34663,21403,44179,42229,29690,39770,882
36172,47245,21258,45476,48160,9129,8614,31584,34612,23150
9943,36357,29453,20485,24482,8853,17967,15124,36553,28780
8712,35503,38411,27511,15840,42627,17351,14115,17385,5556
45339,22949,25270,37778,49795,32423,21277,1309,4741,3364
4130,16176,44963,17480,8905,26836,7660,5074,1711,31485
24136,35824,41517,16050,49275,44059,40365,32820,37380,11270
34987,31964,43093,32056,21719,22240,13186,15931,14129,22107
10090,37404,8472,15156,35272,36263,10150,46369,41910,3592
6179,15072,40704,15254,1120,13203,2112,43088,15980,29031
4885,16696,32440,8339,1058,9371,5528,16051,38410,34469
9080,37035,21294,12390,22564,41191,36519,42423,29557,19475
22100,41506,24684,40611,23634,12565,29288,19301,40596,25860
5780,8521,17373,40236,13229,17418,10642,14786,19017,40726
34362,1536,7707,18934,17017,47834,7021,17458,40186,35791
16605,11357,409,24278,46645,24270,24163,38157,44851,130
45517,43453,2264,40871,19360,42852,3977,24986,33754,2776
41427,17045,14739,27981,25589,20762,46006,16447,19024,11657
20226,39795,26511,31751,28114,20388,11011,26556,7105,4929
11044,29653,38490,16749,32311,9887,3149,19313,33288,38694
21474,29925,12094,24955,29257,32294,2562,13226,12132,25213
28420,37991,1288,39470,36618,14894,11407,26533,2835,6408
30936,2213,45332,26813,15253,21858,22936,42476,25597,7042
23826,42646,38929,47255,15337,21151,49134,28023,14772,16417
32137,595,26175,50164,49989,3889,48191,10065,13184,12245
20799,19148,7278,42015,33113,6668,32524,48082,7906,2579
33148,47865,17168,48706,29509,41768,13889,12810,8937,38652
21675,26942,38066,17308,18378,36133,1848,31473,46286,5434
39705,20304,16327,29522,22525,15217,26135,14421,33882,33001
43112,40111,46756,33925,14123,31526,8967,4360,22939,8173
45296,11803,25475,47931,1219,23245,40599,19218,39337,39353
8013,33852,10724,35323,30001,34175,37158,41849,26685,27014
19542,28159,8368,27846,15924,6367,39857,25131,40766,10459
10661,32331,41738,9693,41793,15763,49919,37135,8586,13772
25925,15384,42625,14178,46371,37960,23235,43027,28054,16585
16657,46364,45221,45157,18140,29018,16305,23777,13951,29654
21715,45928,46735,33259,28979,15740,45779,40001,30678,31500
25382,6867,45010,8310,2886,27171,4889,14284,34375,3861
20088,35421,19212,20132,49583,4847,1980,8443,45896,1885
35896,41205,15215,15891,46268,38268,38840,20072,13964,32381
16442,3921,18583,18334,11096,2989,31894,23411,15802,43495
25169,20006,35486,40796,22555,27796,5625,42662,30537,13590
3445,9456,13306,34786,20974,18371,20683,37937,50043,40974
11532,38483,13032,20243,25247,40874,28899,13955,35490,9380
33947,16054,39653,28603,6625,15599,18910,23195,33077,26957
36749,10861,15878,47828,8994,37352,19377,14626,28215,25685
17844,6374,20374,48875,13322,7229,4834,21248,12400,8309
2316,23479,1395,11241,38312,30964,37009,34474,25339,41980
6254,12632,27109,23629,34582,2971,21931,44321,38770,33434
28700,44334,11746,42108,10233,35811,27311,21404,16247,2918
26800,8152,50155,26742,26472,43698,36247,991,16458,33823
33503,1448,16940,26908,27631,27561,24277,29574,23319,36278
9611,30899,50103,22197,9629,34575,23847,15720,23676,35412
46953,11762,48230,30387,1501,30738,42275,38926,23222,21574
21809,25731,20427,27748,42953,37150,8582,22715,33002,40027
25246,37244,7762,48191,42675,22827,11883,4632,21171,33785
2458,9970,38839,6005,3486,7901,40227,41198,6939,33477
16999,38648,10867,4984,38774,38353,11178,30370,35575,27345
15632,9210,35271,15917,42555,42691,22073,18229,31273,48976
24624,2772,30839,39121,40755,6267,17921,2036,40677,14225
47124,37738,13186,1623,25277,7675,21930,15360,26030,12747
46868,41833,34417,9583,12154,46977,9223,41366,48341,33895
39553,21497,33537,41260,5317,1296,30018,38087,20506,4534
21170,26762,48804,37540,30179,29227,3024,35225,4635,31285
41805,42963,15976,36112,39695,40993,3321,23499,4991,49407
17802,31270,28583,12445,41893,36482,34715,31915,494,28614
8951,48650,10923,963,3733,35482,16152,14591,25898,29135
28051,41682,41936,41753,49594,7494,39952,7171,18491,16549
48684,43479,33046,1704,24213,32900,24928,21614,3749,6436
45325,11140,21068,6228,32212,11537,2605,12146,19058,20988
11118,1862,25372,20749,47469,15918,16225,31739,34161,42103
15756,47995,27335,10212,26300,3366,17564,43406,33979,2386
18877,49881,25627,27815,698,4478,34484,4549,24150,17652
5191,41448,33643,39285,263,11105,45273,45436,12644,10336
12374,14024,5466,27962,33115,6058,23240,815,36788,48862
34621,22490,45780,49592,18917,15664,36302,46069,28784,27561
5515,2806,26524,37889,23534,31060,23254,38920,33279,13390
41177,4720,20032,35818,45705,7921,20285,30889,48913,6750
18693,36941,16899,19764,26096,6335,6195,19377,13517,36447
20576,26411,47159,1828,4083,4391,7746,31860,33883,25834
33635,42996,24858,2077,390,31730,5643,21921,5744,13600
30052,24908,31462,10296,47574,38457,33257,7307,34357,36140
37231,43242,18735,46221,10187,28291,47190,29863,29404,7240
39569,36230,37809,48491,17671,37192,50146,22516,37856,33710
31158,28938,16639,42292,17507,7703,23631,35318,9180,26099
